ingredient_name,phe_mg_per_100g,protein_g_per_100g,energy_kcal_per_100g,usda_name,source,phe_estimated,usda_match,usda_data_type,match_type
boiled chicory,0.041,1.7,22.944575999999998,"chicory greens, raw",USDA,False,"Chicory greens, raw",SR Legacy,
boiled potato,0.083,1.87,86.998184,"potatoes, boiled, cooked in skin, flesh, with salt",USDA,False,"Potatoes, boiled, cooked in skin, flesh, with salt",SR Legacy,
boiled potatoes,128.5,2.57,58.078458,"potatoes, raw, skin",USDA,True,"Potatoes, raw, skin",SR Legacy,
bok choy,51.1875,1.02375,0.0,"cabbage, bok choy, raw",USDA,True,"Cabbage, bok choy, raw",Foundation,
bread cubes,835.0,16.7,437.858992,"soup, bouillon cubes and granules, low sodium, dry",USDA,True,"Soup, bouillon cubes and granules, low sodium, dry",SR Legacy,
breadcrumbs,0.0,0.0,350.0,breadcrumbs,Nutritional_Data.csv,False,,,exact
broccoli,0.117,2.82,33.699846,"broccoli, raw",USDA,False,"Broccoli, raw",SR Legacy,
buckwheat,0.52,13.25,342.97361,buckwheat,USDA,False,Buckwheat,SR Legacy,
burdock root,0.033,1.53,72.179812,"burdock root, raw",USDA,False,"Burdock root, raw",SR Legacy,
"butter, stick",0.025,0.0,0.0,"butter, stick, salted",USDA,False,"Butter, stick, salted",Foundation,
cabbage,55.00000000000001,1.1,15.53539,"cabbage, kimchi",USDA,True,"Cabbage, kimchi",SR Legacy,
cabbage core shreds,55.00000000000001,1.1,15.53539,"cabbage, kimchi",USDA,True,"Cabbage, kimchi",SR Legacy,
canned greens,0.022,0.72,21.032528,"peppers, chili, green, canned",USDA,False,"Peppers, chili, green, canned",SR Legacy,
cannellini beans (small amount),1078.125,21.5625,0.0,"beans, cannellini, dry",USDA,True,"Beans, cannellini, dry",Foundation,
canola oil,0.0,0.0,900.0,canola oil,USDA,False,Canola oil,Survey (FNDDS),
capers,0.0,0.0,60.0,capers,Nutritional_Data.csv,False,,,exact
capsicum,600.5,12.01,318.116986,"spices, pepper, red or cayenne",USDA,True,"Spices, pepper, red or cayenne",SR Legacy,
caraway seeds,0.867,19.77,332.935358,"spices, caraway seed",USDA,False,"Spices, caraway seed",SR Legacy,
carrot,0.251,8.1,341.061562,"carrot, dehydrated",USDA,False,"Carrot, dehydrated",SR Legacy,
carrots,0.061,0.93,41.348038,"carrots, raw",USDA,False,"Carrots, raw",SR Legacy,
"carrots, cooked",0.061,0.93,41.348038,"carrots, raw",USDA,False,"Carrots, raw",SR Legacy,
cassava,0.026,1.36,159.417002,"cassava, raw",USDA,False,"Cassava, raw",SR Legacy,
cassava leaves,0.026,1.36,159.417002,"cassava, raw",USDA,False,"Cassava, raw",SR Legacy,
cassava root,0.026,1.36,159.417002,"cassava, raw",USDA,False,"Cassava, raw",SR Legacy,
cauliflower,0.0,0.0,25.0,cauliflower,Nutritional_Data.csv,False,,,exact
cauliflower rice,82.03125,1.640625,0.0,"cauliflower, raw",USDA,True,"Cauliflower, raw",Foundation,
"cauliflower, cooked",0.108,3.04,32.504816,"cauliflower, green, cooked, with salt",USDA,False,"Cauliflower, green, cooked, with salt",SR Legacy,
"cauliflower, raw",82.03125,1.640625,0.0,"cauliflower, raw",USDA,True,"Cauliflower, raw",Foundation,
cayenne,600.5,12.01,318.116986,"spices, pepper, red or cayenne",USDA,True,"Spices, pepper, red or cayenne",SR Legacy,
celery,24.609375,0.4921875,0.0,"celery, raw",USDA,True,"Celery, raw",Foundation,
celery root,24.609375,0.4921875,0.0,"celery, raw",USDA,True,"Celery, raw",Foundation,
"celery, raw",24.609375,0.4921875,0.0,"celery, raw",USDA,True,"Celery, raw",Foundation,
"celery, raw root",24.609375,0.4921875,0.0,"celery, raw",USDA,True,"Celery, raw",Foundation,
"celery, raw, raw",24.609375,0.4921875,0.0,"celery, raw",USDA,True,"Celery, raw",Foundation,
chaat masala,165.0,3.3,56.883428,"smart soup, indian bean masala",USDA,True,"SMART SOUP, Indian Bean Masala",SR Legacy,
chard,0.11,1.8,18.881474,"chard, swiss, raw",USDA,False,"Chard, swiss, raw",SR Legacy,
"chayote, cooked",0.036,0.62,21.51054,"chayote, fruit, cooked, boiled, drained, with salt",USDA,False,"Chayote, fruit, cooked, boiled, drained, with salt",SR Legacy,
cherry jam,0.021,0.37,277.963978,jams and preserves,USDA,False,Jams and preserves,SR Legacy,
cherry tomato,0.027,0.88,17.686443999999998,"tomatoes, red, ripe, raw, year round average",USDA,False,"Tomatoes, red, ripe, raw, year round average",SR Legacy,
cherry tomatoes,0.027,0.88,17.686443999999998,"tomatoes, red, ripe, raw, year round average",USDA,False,"Tomatoes, red, ripe, raw, year round average",SR Legacy,
chicory,0.041,1.7,22.944575999999998,"chicory greens, raw",USDA,False,"Chicory greens, raw",SR Legacy,
chili,0.0,0.0,166.66666666666669,chili sauce,Nutritional_Data.csv,False,,,startswith
chili flakes,0.229,8.95,348.94876,"onions, dehydrated flakes",USDA,False,"Onions, dehydrated flakes",SR Legacy,
chili oil,0.474,12.56,156.787936,"applebee's, chili",USDA,False,"APPLEBEE'S, chili",SR Legacy,
chili sauce,0.0,0.0,166.66666666666669,chili sauce,Nutritional_Data.csv,False,,,exact
chinese black vinegar,56.99999999999999,1.14,22.466563999999998,"broccoli, chinese, cooked",USDA,True,"Broccoli, chinese, cooked",SR Legacy,
chinese broccoli,56.99999999999999,1.14,22.466563999999998,"broccoli, chinese, cooked",USDA,True,"Broccoli, chinese, cooked",SR Legacy,
"chinese cabbage (pak-choi), raw",0.0,0.0,14.285714285714285,"chinese cabbage (pak-choi), raw",Nutritional_Data.csv,False,,,exact
chinese celery,56.99999999999999,1.14,22.466563999999998,"broccoli, chinese, cooked",USDA,True,"Broccoli, chinese, cooked",SR Legacy,
chinese eggplant,56.99999999999999,1.14,22.466563999999998,"broccoli, chinese, cooked",USDA,True,"Broccoli, chinese, cooked",SR Legacy,
chinese leek,56.99999999999999,1.14,22.466563999999998,"broccoli, chinese, cooked",USDA,True,"Broccoli, chinese, cooked",SR Legacy,
chives,0.105,3.27,30.114756,"chives, raw",USDA,False,"Chives, raw",SR Legacy,
choy sum,51.1875,1.02375,0.0,"cabbage, bok choy, raw",USDA,True,"Cabbage, bok choy, raw",Foundation,
chutney,16.5,0.33,246.0,chutney,USDA,True,Chutney,Survey (FNDDS),
